Username,waktu,Komentar,Rating
Pengguna Google,2019-10-18,mas banyak kurang cod untuk handphone ram gb mas lag sekali padahal grafik randah kalah jauh dengan pubg ram gb pun mas lancar untuk hp ram gb tolong baik permainan cukup tarik tapi masih banyak kurang,3
Pengguna Google,2019-10-18,mohon admin milik garena saya minta saran dong admin update depa itu seperti begini tema hallowen mode zombie mohon segera hadir bug nya baik jaringan nya iya admin jangan lupa character cewek baru overpower ada motor harus kalau suatu pagarpohon jika tabrak hancur lebih tarik grafik admin bagus biar tarik kurang damage serang anjing zombie kepala bug saat keluar dari jendela elite password tidak akan dilupain lah kalau bisa,3
Pengguna Google,2019-10-18,gamenya sudah mantap grafik sudah keren ada beberapa tambah kalau bisa skin baju dan senjata adakan buat yang login hari atau setiap selesai event khusus arena br map nya kenapa asa kecil dan zona pertama dan akhir tidak ada beda itu saja yang lain sudah keren semua,5
Pengguna Google,2019-10-18,gameplay hampir sama dengan console grafis mantap microtansaksinya tidak maksa banyak senjata dan juga map untuk masalah koneksi bagus lama saya belum pernah alami lag tengahx main atau susah untuk login dalam permainan pokok koneksi mantap dan jangan lupa garena cheater permainan banyak sekaliplis musnah saja cheternyadan satu sedikit sedikit maksa tolong kalau bisa masukin mode story gak apax kalau bayar khusus untuk story mode saja,5
Pengguna Google,2019-10-18,apakah permainan ada suatu perk atau seperti itu yang dapat buat kita hilang karena saya alam sering sekali lihat musuh yang lihat hanya lihat backpack terbang dan baru ketika aim arah backpack sebut baru muncul nama dan health nya namun karakter masih transparanpadahal koneksi saya bagus kondisi transparan saya sering jumpa map stand berhenti,2
Pengguna Google,2019-10-18,dari seg grafis tidak perlu ragu hanya saja tingkat stabil jaringan dalam servernya saja yang perlu tingkat agar performa permainan jadi lebih lancar lag terimakasih,3
Pengguna Google,2019-10-18,aku kasih bintang dua dulu karena setiap main pertarungan royal sering ngebug terus tombol nembaknya sering hilang sendiri dan senjata dan lama lainnya tidak bisa ambil ntar kalau sudah baik aku kasih full bintang semoga bisa baik cepat,2
Pengguna Google,2019-10-18,permainan yang bagus tapi perlu ingat macth masih banyak bug tolong juga baik server ketika saya main macth selalu patah patah dan lag padahal perangkat saya sangat mumpuni yang harus winner semakin jadi kalah karena server yang kurang bagus,5
Pengguna Google,2019-10-18,cukup tingkat saja utama untuk kontrol yang mungkin sedikit rumit untuk main mula dan juga mungkin Hanya saya permainan sangat sensitif kena sinyal apalagi jika ping sudah capai ms selsaikan tapi cara seluruh sudah lumayan lanjut tingkat,5
Pengguna Google,2019-10-18,ini masalah conection kurang bagus tapi terkadang terkadang saat main utama mode royale suka jadi freze saat temu musuh maupun helicopter dan kendara lain lebih parah langsung crash keluar dari aplikasi langsung sejak main permainan initetapi permainan tetangga belah biasa ajaseperti permainan fps lain tapi tidak pernah freze parah dan suka jalan sendiri saat samping dan mode teropong buka cara cepat terkadang masih warna hitam pekat dan terkadang senjata pun tidak lihat,1
Pengguna Google,2019-10-17,tolong dong saya main mode br kenapa ketemu musuh ngelag patahpatah trus keluar sendiri terus saat lobby bug atau bukan soal player nya jarang muncul tolong untuk garena untuk baik,1
Pengguna Google,2019-10-17,gamenya sangat bagus semua mode seru baik multiplayer maupun battleground match tapi mungkin ada sedikit permainan masih sedikit kurang lengkap banding permainan lain contoh jumlah kill kita bisa lihat jika buka daftar menu kill teman dan musuh tolong lengkap iya mungkin masih ada juga yang mungkin bisa tambah tapi itu semua terlalu panjang jadi demikian dari saya,4
Pengguna Google,2019-10-17,ane kasih bintang satu dulu sangat sayang kan sekali permainan nya yang bagus grafis tapi saat masuk permainan suka macetmacetan terus ketika hadap langsung sama musuh langsung ngelag padahal speak hp sama sinyal sangat bagus tapi saya saat main permainan sering jadi itu tolong segera baik jika ingin jadi permainan terus tranding,1
Pengguna Google,2019-10-17,first of all itu permainan bagus banget grafis juga bagus tapi ada satu yang harus setel ulang yaitu gameplay nyaseharusnya kalau kita main fps nya level nya harus sama dan ranknya juga harus sama harus sangat setel ulang kasihan para new player lawan sudah level selsaikan dan itu pasti otomatis kalah dan map pertarungan royale nya juga harus diperbanyaksemoga request saya dapa terima dan dapat kembang,5
Pengguna Google,2019-10-17,untuk saya pribadi yang tidak terlalu suka permainan online multiplayer permainan adalah kecuali seru tegang grafis mumpuni dan ukur standar untuk permainan legendaris tingkat kalau bisa ada mode story permainan pc,5
Pengguna Google,2019-10-17,kenapa saat bettel kenapa macet sih sdangkan sinyal data sendiri atu wifi pun sudah coba main multi tidak ada kendala tapi saat bettel itu awal main saja sudah bkin naik darah ini permainan tolong perbaikanx,1
Pengguna Google,2019-10-17,permainan call of dutymobilegarena nya sangat seru dan tarik saya sangat suka nya karena grafik nya bagus dan ada helikopter terus helikopter nya bisa naikkin terus bisa terbang tinggi dan jalan nya cepat terus ada mobil balap terus ada mobil yang belakang nya ada senjata mesin nya lalu ada mode multiplayers orang kalau mati bisa hidup sampai timusuh mati atau tim saya yang mati kalau terus kalau mau main rankedclassic milih dulu mau ninja dan lain lain maka nya saya suka,5
Pengguna Google,2019-10-17,rangin dulu bintang permainan nya grafik sih bagus tapi efek hp nya jadi panas batreai cepat boros banyak bu contoh saya darat padahal map kecil tengah kota tapi kenapa tidak ada kotak ngilang ngeload juga tidak ambil senjata maju mundur itu saja sihh masalah,2
Pengguna Google,2019-10-17,permainan seru walaupun grafik nya masih buriq tapi lumayan lah buat permainan fps dengan ukur tidak smpe gb lagi kan baru keluar jadi maklum saja lah kalau grafik buriq dan br nya kurang seru turut saya semua mantap dan lumayan lah tapi kalau bisa matchmaking nya buat lebih adil lah masa saya yang masih veteran musuh sudah elite itu saja sih yang lain sudah ok sukses terus codm,4
Pengguna Google,2019-10-17,salah satu permainan keren saran saya kembang permainan multiplayer nya agar beda dari gamegame saing lain contoh ambil beberapa konsep permainan pointblank bisa pilih map deathmatch war clan rank clan atau yang lain turut saya hasil mungkin bakal lebih sempurna dari gamegame belum utama permainan via mobile karena turut saya cod milik kuat mode multiplayer bukan mode battlegroundbattle royalenya pokok terus inovasi,5
Pengguna Google,2019-10-17,permainan bagus tapi saya sangat kecewa sudah bli skin tapi kalau sudah match lihat musuh semua lihat pakai karakter yang default saya harap perbaiki kalau sudah punya skin ya orang lainmusuh lihat keliatin biar mantap lah kok semakin sama semua seperti pakai karakter default,5
Pengguna Google,2019-10-17,lebih tingkat lagi dan baik karena terkadang hp spek tinggi bisa ter install tapi kalau hp spek hp yang standar terkadang tidak jalan keluar sendiri tapi semua matap lah,3
Pengguna Google,2019-10-16,saya bela bain hps mlbb karena karena lag jaringan buat main ini permainan tahu tahu sama saja saat rank pertarungan royal saya sudah tinggi pro mulai timbul masalah jaringan padahal wifinya baik baik saja ada masalah sama wifinya tolong dong codm kalau mau gamenya dimainin banyak orang tolong baik dong masalah jaringan apalagi saat sudah tier yang tinggi,3
Pengguna Google,2019-10-16,sangat bagus sekali tapi ada kurang kurang halus muka map battleroyal naik gunung kenapa harus sambil loncat  kembang supaya halus  dan map juga setiap sisi kanan kiri jalan terlalu tinggi jadi saat habis nyebrang jalan terasa habis ngeloncatin pagar saking tinggi bahu jalan oh iya tolong optimal juga untuk jaringan karena ping naik turun tidak beraturan  sekian dan terima kasih,5
Pengguna Google,2019-10-16,permainan yang lebih mantap dari pointblank versi pc ink permainan dapat main hp middle tinggal setting grafik saja dan luar biasa lagi permainan cod lebih pukau upgrade senjata kalau sedang hoki dapat senjata mantap peluru banyak tinggal up dan siap tempur hanya saat masuk room level tinggi campur dengan low level jadi seimbang tempur permainan yang tunggu dan buat semangat timbul kembali bravo to cod,5
Pengguna Google,2019-10-16,gamenya rusak parah masa ambil senjata tunggu detik baru ambil dan saat ada musuh sudah serang semakin keluar bug dan akhir mati karena tidak bisa ngeluarin senjata sama kemampuan sudah itu saja,1
Pengguna Google,2019-10-16,visual sudah oktapi masih ada kurang masih suka patah saat main padahal sudah pakai wifi yang ngebut waktu battelnya terlalu cepat lebih seru kalau lokasi banyak dan karakter bisa ganti kostumnyasemoga depan semakin baik,5
Pengguna Google,2019-10-16,seluruh gameplaynya sih sudah bagus Hanya mungkin ada beberapa hal yang perlu update grafis mode pertarungan royal dan map untuk mode pertarungan royal yang perlu tambah,4
Pengguna Google,2019-10-16,saya beri bintang satu dulu masih banyak kurang nya saya harap baik utama masalah ping nya masa saat mau ciken musuh sisa semakin nglag padahal jaringan max terus situ ping nya hijau bagus tapi stia ketemu musuh pasti nglag tollong baik terima kasih permainan nya tidak kalah bagus sama yang lain,1
Pengguna Google,2019-10-16,kurang hanya mode pertarungan royale modo br pada saat gameplay itu sangat lag bukan hanya saya tapi rekan lain pun sama dapat dengan saya padahal hp kami bukan ram bawah gb ram tapi mode multiplayer sangat lancar mungkin hanya itu kurang permainan ini sekian terimakasih,5
Pengguna Google,2019-10-16,permainan kga susah gampang main nya terus memang we dari console nya sudah mainkan hampir semua seri nya jadi good lah kga kya permainan jenis nya yang susah menu awal kalau mah kga susah gampang buat main mula mah,5
Pengguna Google,2019-10-16,permainan sudah mantap sekali saya sangat suka main permainan saya beri bintang karena masih ada beberapa kurang permainan map mode pertarungan royal nya hanya satu settingan nya masih belum lengkap dan sempurna grafik nya masih rendah tambah peak fire waktu revival flight nya rang tombol jongkok dan slide nya pisah saja tambah ghillie air drop tolong tingkat bos salam codm,4
Pengguna Google,2019-10-16,nb map banyak saat br mp sp lama saya main cod m ini saya rasa sudah lebih baik Hanya senjata item dan lain lain itu banyak mudah tambahin map saat lagi pertarungan royal banyak yang bilang permainan banyak bug jelas banyak bug baru rilis juga masalah sinyal itu bkn karena gamenyatapi karena beberapa wilayah itu yang dukung tidak itu tidak semua bisa digunainharus lebih jeli untuk pilih tempat untuk mmainkn permainan inigrafik juga sudah perfect,5
Pengguna Google,2019-10-16,ferfect permainan yang saya suka dari dulu dan akhir rilis permainan fps baik i like call of duty mobile tapi tolong update map pertarungan royal bosen map nya itu itu saja dan satu tolong rilis versi lite nya soal hp temen saya tidak support untuk permainan jadi tidak bisa mabar deh,5
Pengguna Google,2019-10-16,permainan nya bagus gameplay oke grafik oke tapi sayang saat domination orang random nya pada tidak mengerti main nya jadi beban buat yang mengerti tolong kasih tutorial nyahow to play belum mereka nyobain mode domination terima kasih semoga bug nya fix dan semakin karakter nya semoga ada roach,5
Pengguna Google,2019-10-16,saya sudah main mulai dari pertama kalau rilis dan saya baca semua review para main banyak yang bilang kalau servernya masih kurang bagus and yes itu memang sesungguh kalau saya pakai wifi itu lagnya parah tapi kalau pakai tidak lancar adalagi yang bilang saat buka teropong lama wait wht itu kan sudah dari berguna senjata geblek kalau lambat nge teropong arti senjata memang yang sudah setting seperti begitu jangan hanya fokus permainan pubg yang cuma fokus damage sma recoil saja,5
Pengguna Google,2019-10-16,permainan pertarungan royale baik saat ini ane main hp xiaomi mi a lite lancar jaya abadi sentosa nolag noframe drop set low high next update baik nyetir mobil sulit kalau mau belok mobil masih kaku dan untuk gyro dan buka teropong terkadang delay yang mau mabar bareng itu nick ane mercenaries itu saja masuk dari saya terimakasih garena,5
Pengguna Google,2019-10-15,kenapa aplikasi tiba keluar sendiri aplikasi apa ini saya main pub tidak seperti gtu tiba aplikasi close sendiri saya pakai koneksi data atau wifi tetap saja tiba crash sendiri tolong dong fix,1
Pengguna Google,2019-10-15,gameplay enak control kurang graphic lumayan kalau bisa tambahin dikit yah yang satu ininih jaring lancar tapi reconnect itu yang salah jaringan apa servernya tambah kalau sudah out tidak bisa ngelanjutin match yang tadi pula tambah kalau dissconmect diitung afk bagaimana sih permainan boleh bagus baik dulu itu sistem,2
Pengguna Google,2019-10-15,permainan nya seru tapi sering blank kalau main lama terkadang bisa relot senjata dan bisa normal tempur patah dan jaringan tidak bagus pun patah padahal saya berguna hp ram tolong admin baik,1
Pengguna Google,2019-10-15,gameplay nya sih emg bagus tapi masalah tolong diperbaiki karena kalau matching up suka hubung ulang masuk juga tidak bisa padahal pakai wifi jaringan lancar akhir xp nya harus kurang  pernah seperti begitu lebih dari satu kalau mohon segera baik iya garena di,4
Pengguna Google,2019-10-15,tolong baik sinyal dan servernya terlalu sering masalah ketika sedang main survive rugi batre dan kouta saja kalau terus terus begitu kuat lagi untuk sinyal three atau servernya jangan lemah sampai dc terima kasih,1
Pengguna Google,2019-10-15,saya kecewa karena setiap main pertarungan royal selalu nge lag parah patah padahal saat multiplayer lancar begitu main pertarungan royal langsung nyendat akhir bunuh musuh tidak bisa ngelawan padahal jaringan internet lancar buat aplikasi lain tolong baik,2
Pengguna Google,2019-10-15,permainan nya sudah cukup bagus dan muas tapi mohon segera di baik bug bug nya ya masa ada di balik tembok bisa kena damage misuh mohon segera di baik bug karena sangat sangat rugi main utama saat mode rank terima kasih,5
Pengguna Google,2019-10-15,very good seperti pubg bakal kalah kontrol permainan enak sangat simple tidak terlalu banyak tombol untuk ikut tunggu map yang lebih banyak untuk mode battleround,5
Pengguna Google,2019-10-15,tarik sekali permainan mobile dengan kualitas gambar sangat mantap tetapi kapasitas simpan trlalu besar sehingga trlalu banyak makan memory dan yang penting hp kentang pun tetap lancar maennya hahaha jempol sudah tetapi tolong terus kembang dan iya hehe,4
Pengguna Google,2019-10-15,gamenya bagus dan saya nikmat dan untuk latih cepat aim recommended sekali turut saya tetapi tolong tambah mode training agar bisa atur buat berguna baru terima kasih,4
Pengguna Google,2019-10-15,masih butuh banyak baik permainan inisecara umum sudah bagushanya masalah ada beberapa bug yang masih menggangguseperti tombol tembak belah kiri pada saat mau tembak semakin yang pencet tombol arah saya mati terus jadi terus saya sudah sembunyi balik dinding tapi masih bisa tertembakmngkin ada cheater atau bagaimana tapi minta tolong baik,2
Pengguna Google,2019-10-15,permainan buriqq  tolong baik bug yang sering keluar sendiri saat play permainan  sudah saya uninstal dan download masih saja bug nya keluar sendiri tolong baik bug  udag permainan nya buriqq tambah bug tambah bur  cu,1
Pengguna Google,2019-10-15,butuh baik admin masa jaringan saya cepat buat main codm suka lambat terus terus hubung server padahal permainan sangat bagus dan tarik ketimbang permainan belah semoga baik admin thxz,3
Pengguna Google,2019-10-15,yang harus tingkat bugs dan glitch masih banyak cheater masih liar matching team sesuai tier dan banyak masih banyak yang dapat team noobrendah fps sering drop saat face to face lawan musuh walaupun sinyal handphone stabil dan handphone saya spesifikasi tengah selsaikan,1
Pengguna Google,2019-10-15,pertarungan royal sering error tidak muncul pilih kemampuan nya awal masuk terus saat main tidak bisa loot sama tidak bisa tembak akhir paksa keluar permainan soal tidak bisa loot atau gunakan senjata tapi jadi poin minus exp karena error aplikasi pun bisa kena turun poin,1
Pengguna Google,2019-10-15,saya suka sekali permainan karena grafik yang hebat kontrol cukup baik dan mudah main meski terkadang aim teropong terlalu sensitif tapi sudah cukup baik tinggal poles sedikit saja Hanya mungkin untuk efek visual peluru kena target masih belum greget dan harus lebih tingkat agar lebih terkesan real maju terus call of duty mobile,5
Pengguna Google,2019-10-15,saya player pertarungan ground saya suka permainan selain grafik bagus game nya tidak terlalu berat tombol juga lengkap saya suka Hanya yang kurang tolong dong tambah tombol miring badan agar saat tembak bodynya tidak terlalu lihat sama musuh trimakasih,4
Pengguna Google,2019-10-14,keren sangat sumpah karena ada fitur team deathmatchnya jadi keren kamu yang belum nyobain harus mainkan ini permainan recomended sangat buat kalian yang suka permainan perang tapi satu hal yang terkadang kesal itu bug nya jadi admin bisa baik iya selain itu semua sudah keren grafik nya juga jadi tunggu ap tekan download sekarang jangan lupa ajk teman mau juga iya,5
Pengguna Google,2019-10-14,mohon untuk jaringan lebih optimal lagi karena saya sering main dengan sinyal yang baik tapi waktu battleground entah kenapa biasa sedikit patah  sedang untuk multiplayer terkadang sedikit lambat lebih ada lagi dan turut saya permainan sangat bagus  terima kasih,4
Pengguna Google,2019-10-14,saya suka dengan permainan ada lebih dan juga masih banyak kurang lebih grafik bagus controller cukup bisa dapat item saat naik level dan bintang saat main mode pertarungan royal bisa pilih class dan saat tempur helikopter jadi satu maksud squad helikopter kurang saat main mode vs level player harus imbang masih ada cheater saat main mode vs map yang berguna harus buka agar musuh tidak tahu butuhrespon,3
Pengguna Google,2019-10-14,dulu karena saya belum bisa dengan lancar main mode br entah itu karena permainan yang dadak freeze bahkan fc padahal permainan belah lancar atau hubung server padahal internet lancar ping juga bagus saya tunggu fix nya overall mantap,4
Pengguna Google,2019-10-14,mantaptapi masih ada kurang masih sering disconnect sendiri dan masih ada cheater yang buat frustasi buat main tambahinlah map nya yang multiplayer sama pertarungan ground masasih pertarungan ground hanya satu mapisolated dan tambah senjata baru awm p dan lain lain terimakasih,5
Pengguna Google,2019-10-14,gamenya sudah bagus banget tapi terkadang suka ada bug begitu mode multiplayer senjata hilang sendiri dan tidak bisa gerakin please tolong baik lagi bug yang begini saat rank buat kesal,5
Pengguna Google,2019-10-14,terima kasih garena sudah kembang permainan bagus mungkin lanjut yang baik adalah grafik saat main mode pertarungan ground tekstur peluru saat belum diloot sangat aneh dan jangan beri info bahwa itu benda spesial jadi para main bisa jelajah dan lebih penasaran dan akan lebih semangat main terima kasih itu saran saya,5
Pengguna Google,2019-10-14,nice permainan untuk versi mobile emg sudah bagus grafik ping suara dan bagai sudah bagus memang sih untuk masalah ping terkadang alami ganggu tapi itu tidak begitu ganggu tidak nyesal sudah download nh permainan,5
Pengguna Google,2019-10-14,sudah bagus developer kembang permainan tapi beberapa berguna android khusus saya sedikit kecewa karena untuk mode pertarungan royale saya menggalami glicth mana hampir semua bangun lihat hilang dan hanya lihat sedikit warna dari bangun sebut tolong baik,5
Pengguna Google,2019-10-14,saya turunkan bintang soal masih ada kendala room lobby pertarungan royal sering patah patah dan sering force close sendirikeluar sendiri tolong baik gamenya dan tambahin maplapangan pertarungan royal bosen kalau Hanya terima kasih,2
Pengguna Google,2019-10-14,call of duty memang tidak guna pas waktu saya main sinyal nya jelek suruh keluar atau coba saya pencet coba tidak bisa akhir saya pencet keluar permainan saat saya keluar permainan xp rank call of duty saya kurang apa sih yang ingin kan bukan salah saya kan salah sinyal harus xp nya yang kurang padahal saya susah susah naikin rank nya,2
Pengguna Google,2019-10-14,grafik keren pilih matchnya banyak tapi dibattleroyalnya masih kaku tapi ada masalah yang buat saya geram sudah saya tekan aplikasi tetapi muncul menu log tetapi semakin blank sudah ada tulis activision mohon bantu,5
Pengguna Google,2019-10-14,lama saya main itu saya belum rasa ada curang sih pertama dari aim yang lumayan kena grafik yang pun untuk maps pertarungan royale mungkin akan rilis maps lain kemudian hari tolong lebih jelas untuk equipment weapons loadout karena bagi orang awam mungkin tahu jika weapons yang pakai equipment contoh teropong mode mp jika kita tembak berguna teropong maka control senjata kita akan normal senjata yang berguna equipment,5
Pengguna Google,2019-10-14,permainan yang paling tunggu bagi fans cod sering jadi lag mode multiplayer tidak tahu itu karena koneksi sendiri atau hal lain pernah jadi error pada karakter mode br baik agar lebih baik depan mode br kurang smooth video opening tidak lancar durasi granat terlalu lama mode chat yang kurang efektif the best awal luncur sudah dapat banyak respon baik dari para berguna tingkat terus permainan agar jadi yang baik,5
Pengguna Google,2019-10-13,permainan sudah bagus dari grafik controler dan mode tapi tolong baik masalah masuk dalam permainan nya sayaa selalu bisa hubung tempur tulis hubung permainan dan akibat kan score rank saya turun teruss karena bisa masuk tempur,5
Pengguna Google,2019-10-13,gila jaringan dalam main tunjuk bahwa kuat sinyal ms tapi ada notifikasi bahwa main sedang sambung ulang sinyal telepon saya penuh dan juga jaringan telepon saya adalah tidak tapi masih bisa tolong untuk developer codm agar baik keluh tentang jaringan main ini orang ingin main dengan nyaman ada masalah apa terima kasih,2
Pengguna Google,2019-10-13,masih banyak kekuranganya pas ketemu musuh langsung patah dan untuk zombienya rangin karna rasa curang kalau war damage nya sakit banget dan untuk lootnya buat beda beda dong masa semua senjata peluru medkit sama warna jadi bingung dan saat ganti senjata kotak mati terkadang senjata tidak masuk kotak mati jadi tidak bisa ambil gara tutup kotak,1
Pengguna Google,2019-10-13,permainan yang bagus  tapi kekurangannyq dari segi gameplay deatch match atau frontline  respawn player yang sudah mati sangant cepat  sehingga buat main asa kurang seru tolong untuk update ikut respawn player yang sudah mati mode deadmatch kasih jeda detik,3
Pengguna Google,2019-10-13,permainan nya bagus hanya ada beberapa yang butuh baik yang pertama terkadang suka ngebug pertarungan royal saat ambil suplay yang dua terkadang tembak musuh tidak kena kena padahal sudah dekat yang tiga sesuai dong demega antara mode multiplayer sama pertarungan royyal ok sekian terima kasih,4
Pengguna Google,2019-10-13,voice chat suka tidak fungsi tulis server voice putus kontrol nya terlalu susah kendara susah kendali gerakan karakter mode battleground kaku kan terkesan aneh matchmaking mode multiplayer sering dengan lawan yang level tidak banding suara step musuh terkadang tidak kedengeran tapi buat grafik yang ada mode multiplayer sudah bagus sangat saya suka,3
Pengguna Google,2019-10-13,baru kalau rasa permainan fps yang perfect mode deathmatch vs ada mode pertarungan royal juga ada gameplay grafik juga bagus sistem ranked pertarungan royal juga bagus pisah dasar solo duo atau squad tapi jadi satu benar andal kemampuan yang suka permainan ala pb atau cs sistem ranked nya juga ada keren terus kembang,5
Pengguna Google,2019-10-13,terima kasih karena sudah rilis permainan permainan nya bagus dan sangat tarik tapi kalau bisa map multiplayer dan pertarungan royale besar karena map multiplayer nya kecil sangat beda dengan series call of duty yang lain itu saja sih yang mau sampai lebih terimakasih,5
Pengguna Google,2019-10-13,mantaps permainan nya tapi kalau main br kurang ngedukung hp kentang awal awal lancar tapi saat ketemu musuh tiba tiba lambat terkadang ada suara decitdecit terus terkadang langit ada item item nya tolong lah baik salam mvp,5
Pengguna Google,2019-10-13,gamenya sudah cukup bagus hp saya ram gb dan saya sering dapat fps  dengan kata lain permainan cukup ringan namun grafik juga bagus waktu yang sama kontrol pun enak enak saja hanya tolong update mode zombie dan map baru pertarungan royale cepat jangan seperti pubg yang update skin terus,5
Pengguna Google,2019-10-13,permainan yang bagus dan keren tapi tolong tambahin bundle yang bisa beli pakai credits map pertarungan royal dan multiplayer baru mode baru dan kalau bisa tambah event yang hadiah cp sekian terima kasih selsaikan permainan call of duty mobile yang sangat bagus,5
Pengguna Google,2019-10-13,dari grafik sama sistem sudah keren mantap lah tapi yang buat saya tidak nyaman saat main pertarungan royal muncul tombol analog attack dlljadi tidak bisa ambil loot yang tersediatolong baik bug nya,4
Pengguna Google,2019-10-13,cara seluruh permainan sudah cukup bagus msih dapat bug beberapa moment harga cp rasa terlalu mah lbih baik ff dripada codm yang pay nya lbih mahal dan garafik mentok definisi medium saja sampai highhd di tunggu baik dan update nya,4
Pengguna Google,2019-10-13,saya edit dan beri bintang  karena sekarang koneksi mulai kacau setiap main selalu ganggu sampai saya dimakimaki main lain awal saja yang selalu lancar sekarang semakin selalu macet koneksi padahal buat streaming dan internet lain masih lancarlancar saja jadi saya hapus codm dari device saya,1
Pengguna Google,2019-10-13,minus plus gameplay okay grafis oke sistem daily bonus dan event oke senjata banyak pilih dan ada kembang distiap senjata sesuai player mode ranked random sehingga beberapa player bisa sesuai beberapa smartphone masih dapat bug tembok hilang mode multiplayer bidik masih kurang presisi antara titik centre dan tembak cheater everywhere please banned permanent for cheater cant wait next update maybe i should give star,4
Pengguna Google,2019-10-13,sudah saat dari segi grafik dan permainan mode nya tpi tlong admin baik masalah lag dan stap kaki musuh sedikit ngaur suara tidak pasti musuh kiri dan kanan pluss suara senjata yang dengar jauh ee semakin dekat mohon iya admin it saja kenapa yang baik mkasihh,5
Pengguna Google,2019-10-12,permainan bagus untuk permainan mode multiplayer tapi sayang untuk mode pertarungan royale selalu alami masalah lag dan crash padahal device dan ram sudah dukung tolong untuk baru masalah lag dan crash pada mode pertarungan royale,4
Pengguna Google,2019-10-12,permainan paleng enak dan keren juga untuk main in semua orang mudah paham permainan ini tapi kurang nya pertarungan royal tolong benar kan biar tidak kaku kalau main dan untuk signal padahal masih ms bisa patah tapi overall bagus bisa tutup sama mode multiplayer is the best permainan dengan mode multiplayer ter epic dan keren sangat semangat developer untuk kasih lebih baik permainan call of duty mobile nya thxfull,5
Pengguna Google,2019-10-12,keren cuk saya suka dengan grafik control dan berat muat nya dan ada satu permainan yang perlu dibperbaiki yaitu free fire coba grafik nya seperti begini pasti semakin keren thank sekian ulasan saya,5
Pengguna Google,2019-10-12,saya beri bintang dulu iya soal kurang ada pada masalah jaringan ketika jaringan saya error tiba permainan pause dan ketika sudah benar jaringan kenapa tidak bisa hubung kembali jadi harus keluar dulu baru bisa hubung tolong dong jaringan perbaiki,3
Pengguna Google,2019-10-12,permainan sudah bagus namun sayang masih banyak bug dan seringkali server down jadi terkadang saat saya masuk mode pertarungan royal pasti tidak bisa ngapa in alias tombol kontrol hilang dan sudah berangkat pesawat kamera tetap lobbi dan sering sekali saya mati padahal darah masih saya tembak terus musuh semakin saya yang mati karena server down,3
Pengguna Google,2019-10-12,saya beri bintang karena masih banyak yang harus baik pertama untuk masalah sinyal mungkin bisa lancar agar jadi ganggu sinyal ketika berhdapan dengan musuh dua masih ada bug yang temu ketika main main,3
Pengguna Google,2019-10-12,gamenya sudah bagus coba untuk tingkat stabil saat main hp yang spek nya kurang mumpuni dan coba adakan event agar bisa tambah seru main dan juga tolong buat mode untuk main by atau vs lawan teman agar permainan permainan fps lain terimakasih,5
Pengguna Google,2019-10-12,bagus sangat sudah grafis keren dan mode multiplayer nya juga keren tapi kalau pertarungan royal rasa kenapa ada yang kurang dan juga kenapa sering ngelag dan tersangkut begitu dan tolong kasih mode zombie biar bagus seperti pubg dan pokok kalian harus download sudah tidak rugi pokok,5
Pengguna Google,2019-10-12,turut saya sih ini permainan dabest lah mulai dari grafik senjata dan lain lain tapi ini saya minta tolong soal jaringan nya lebih tingkat soal setiap kalau saya ganti loadout mode ranked sama multiplayer tidak muncul senjata nya dan juga ini sedikit masuk saat saya ganti jaringan saya bisa hubung kembali permainan,4
Pengguna Google,2019-10-12,bagus tetapi untuk hp ram gb terkadang suka lag kalau sering laku login ulang untuk garena mohon usaha agar player yang ramgb juga bisa main dengan lancar dan untuk mode batle royale mohon tambah map nya,5
Pengguna Google,2019-10-12,kalau grafik memang oketapi kontrol saja yang sulit kontrol inpas dekat musuh mau geser cameranya masih lambat sama kalau peta sulit tahu ada musuhmungkin itu dapat bantu,3
Pengguna Google,2019-10-12,gamenya sih keren entah karena permainan perang yang aku download pertama kalau jadi rasa masih wow tapi jujur terkadang sering ada masalah saat seru main tiba konektivitas hilang padahal jaringan wifihp itu bagus jadi mohon untuk baik iya,4
Pengguna Google,2019-10-12,permainan yang saya sangat suka soal saya main call of duty ps ps tapi akhir keluar juga android saransaran saya untuk bagus permainan mohon tambah mode extinction dengan maps yang beda dengan tapi malam dan saat mode extinction main dapat orang untuk selesai misi untuk yang hpnya kentangtidak kuat lebih baik mode masuk kategori mode yang download dengan mapsnyajadi yang hpnya kuat masih bisa main battlerotalemultiplayer,5
Pengguna Google,2019-10-12,sinyal lancar saja saat main tinggal player semakin tiba keluar sendiri dan saat hubung sudah kena zona please lah untuk jaringan baik gamenya sih bagus tapi untuk jaringan kenapa tiba mati atau keluar sendiri jadi malas main kalau begitu sudah susah payah main saat tinggal sedikit musuh tiba keluar sendiri,1
Pengguna Google,2019-10-12,turut saya gamenya bagus dan smooth  untuk grafik juga sudah hd  main permainan ram gb juga masih lancar tetapi masih ada kendala jaringan suka frame drop ketika main pertarungan royale  untuk multiplayer nya lancar overall semua bagus  pokok saya rekomended sangat permainan,5
Pengguna Google,2019-10-12,tolong baik tampil untuk grafik rendah saat looting mana senjata amo dan item yang lain jngan kotakkotak semua karena sulit saat looting dan makan waktu sngat banyak karena lihat jelas apa yang kita cari mode pertarungan royal,1
